;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Status;Prefixo;Placa;Garagem / Local;Endereço;Bairro;Cidade;Cep ;Fabricante;Modelo;Chassi;"Ano
Fabric./Model";Motor;RPM min;RPM max;Limite de opacidade
OK;219076;FGW9D97;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;11-180;9535V6TB4LR027849;2019/2020;Cummins ISF 3.8;700;2600;1,5 m⁻¹
;219077;BIQ9J87;Jaguaré;;;;;Volkswagen;11-180;9535V6TB5LR027844;2019/2020;Cummins ISF 3.8;700;2600;1,5 m⁻¹
;219078;BXW7G26;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;11-180;9535V6TB7LR027828;2019/2020;Cummins ISF 3.8;700;2600;1,5 m⁻¹
;219079;CSJ0G39;Jaguaré;;;;;Volkswagen;11-180;9535V6TB8LR027854;2019/2020;Cummins ISF 3.8;700;2600;1,5 m⁻¹
;219080;GAH9G27;Jaguaré;;;;;Volkswagen;24-260;95365824XLR029754;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219081;GEF7H16;CTRSS;;;;;Volkswagen;24-260;953658246LR030013;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219082;EHL6487;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;17-260;9536J8244LR029535;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219083;EQD3639;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;17-260;9536J8245LR029446;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219084;EQX4379;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;17-260;9536J8244LR029096;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219086;GBR6532;Jaguaré;;;;;Volkswagen;17-190;9536E8240LR029990;2019/2020;Cummins ISB;700;2500;1,5 m⁻¹
;219104;GGW8F83;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8240LR032240;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219105;FXT3F16;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8241LR032117;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219106;CTC6A21;Jaguaré;;;;;Volkswagen;24-260;9536J8245LR029611;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219107;FCQ3B84;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8245LR031925;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219108;GDP8C45;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8245LR032086;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219109;GIU6B05;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8246LR031951;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219110;GBO5B32;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8246LR032193;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219111;GDN3I34;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8247LR031912;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219112;GDI8E56;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8249LR032074;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219113;EMY0G61;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8249LR032155;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219114;GDL6D51;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J824XLR032438;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219115;GHB0I27;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J824XLR032469;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;219116;GFN4G91;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J824XLR032990;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;219117;GFW9E41;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8240LR032447;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
